tokenizer,lang_code,median_premium,p90_premium,total_premium,tokens_per_char,bytes_per_char,script
mt5,fon_Latn,2.3076923076923075,3.2570099667774084,2.3582314817554972,0.5890523358959195,1.2342770549970432,Latn
mt5,fra_Latn,1.3933982683982684,1.6816363636363636,1.4016158148619455,0.300352594997717,1.0401932930850795,Latn
mt5,fur_Latn,1.519493670886076,1.8162728249194415,1.5188067828711787,0.3550761737397778,1.034302397985305,Latn
mt5,fuv_Latn,1.2806250000000001,1.8069230769230769,1.316030895800657,0.3640248195019728,1.024402023542509,Latn
mt5,gaz_Latn,1.6666666666666667,2.039846153846154,1.684265040987245,0.3638519863442826,1.0153754682964877,Latn
mt5,gla_Latn,1.8492424242424241,2.2723776223776224,1.8416738184723742,0.3826459086549103,1.0401325659755527,Latn
mt5,gle_Latn,1.6538461538461537,2.039846153846154,1.6640821520523217,0.3687713959680487,1.0640075549900971,Latn
mt5,glg_Latn,1.3103448275862069,1.5798947368421052,1.3122724985943002,0.30342199078984283,1.024592351327125,Latn
mt5,grn_Latn,1.6066017316017316,2.048780487804878,1.618152762569915,0.4112068706193785,1.0753466895286226,Latn
mt5,guj_Gujr,1.7142857142857142,2.0767307692307693,1.719126394602113,0.45947891289904136,2.618628784762869,Gujr
mt5,hat_Latn,1.2105263157894737,1.4685416666666666,1.2136071735077387,0.33811816697722735,1.027950464192075,Latn
mt5,hau_Latn,1.3461538461538463,1.6571428571428573,1.3548282086946228,0.3268460544445952,1.011708515088992,Latn
mt5,heb_Hebr,1.2173913043478262,1.4514516129032258,1.2143766091562842,0.4020910498363611,1.7939620201070021,Hebr
mt5,hin_Deva,1.588235294117647,1.9088068181818183,1.5831138468823058,0.4081126648814837,2.5716857772793507,Deva
mt5,hne_Deva,1.5941722972972974,1.877295918367347,1.5871385871977746,0.4224210584352675,2.568395018942825,Deva
mt5,hrv_Latn,1.290994623655914,1.5623475609756097,1.2923263590896985,0.3387452099849512,1.0288021471678794,Latn
mt5,hun_Latn,1.2474489795918369,1.536415201361316,1.2581752537657955,0.30666859018285425,1.1007321383489017,Latn
mt5,hye_Armn,1.5588235294117647,1.896551724137931,1.5731999644875854,0.36421935377785086,1.8475088382800295,Armn
mt5,ibo_Latn,1.7941176470588236,2.32,1.8068124648575064,0.453730677764566,1.1966409036860879,Latn
mt5,ilo_Latn,1.6,1.9582446808510638,1.6042733272173064,0.33949148296593185,1.0023421843687375,Latn
mt5,ind_Latn,1.0689655172413792,1.2727272727272727,1.074960788375603,0.25507352218305407,1.0009058607081163,Latn
mt5,isl_Latn,1.3,1.5992592592592592,1.313515433103489,0.34198867357552876,1.1052972223292368,Latn
mt5,ita_Latn,1.3333333333333333,1.619047619047619,1.341067148057175,0.29023043717736874,1.007179546298787,Latn
mt5,jav_Latn,1.1956521739130435,1.4399024390243902,1.2041963836524519,0.29717077588221547,1.0018915050245385,Latn
mt5,jpn_Jpan,0.8969938107869142,1.1423645320197042,0.9033174513923826,0.5360448167465711,2.934671513618882,Jpan
mt5,kab_Latn,1.8,2.2142857142857144,1.8155130064218283,0.4698295998468313,1.069707064905227,Latn
mt5,kac_Latn,1.7808689024390243,2.3965367965367963,1.806605309105975,0.3592119896202934,1.0001176837484627,Latn
mt5,kam_Latn,1.4516129032258065,2.1423645320197044,1.5224468053623745,0.4007899718757547,1.041422884254318,Latn
mt5,kan_Knda,1.4315953654188949,1.7272727272727273,1.4325708028765056,0.35042710293904733,2.7181120602287536,Knda
mt5,kas_Arab,1.9740215924426452,2.533333333333333,2.0037583972063566,0.5363981335509272,1.808641437387605,Arab
mt5,kas_Deva,1.7826086956521738,2.1994444444444445,1.784232487940576,0.4765898581083752,2.5099086992608988,Deva
mt5,kat_Geor,1.5294117647058822,1.875,1.535290461957326,0.3604410416029792,2.7067156712892197,Geor
mt5,kaz_Cyrl,1.2,1.4665116279069765,1.199431801367228,0.2992535274703368,1.8459800497648353,Cyrl
mt5,kbp_Latn,2.75,3.783666274970623,2.8110147672457164,0.6641054324267636,1.2639865762427462,Latn
mt5,kea_Latn,1.2727272727272727,1.5,1.275931461039922,0.329562392509077,1.0242155551309,Latn
mt5,khk_Cyrl,1.4705882352941178,1.7940162271805273,1.4700068065461218,0.36239676656841857,1.838715090320133,Cyrl
mt5,khm_Khmr,1.3846153846153846,1.8682456140350878,1.4051670563167706,0.30990640541987025,2.8402234782722204,Khmr
mt5,kik_Latn,2.113961038961039,2.9693939393939393,2.1626172649522064,0.47568739259490705,1.1119616726553143,Latn
mt5,kin_Latn,1.4848484848484849,1.8777439024390241,1.502411884821402,0.3480049080427466,1.0225386097077795,Latn
mt5,kir_Cyrl,1.310727969348659,1.6331578947368421,1.3173626113462165,0.3284028033935817,1.845946145333825,Cyrl
mt5,kmb_Latn,1.4615384615384615,1.8884615384615384,1.4752744813707792,0.3419956779748225,1.005440263437725,Latn
mt5,kmr_Latn,1.411764705882353,1.72,1.414222722026575,0.3665510999294327,1.1101386800846809,Latn
mt5,knc_Arab,2.5454545454545454,4.176214833759591,2.436595543191974,0.7096560105498143,1.8220494565638978,Arab
mt5,knc_Latn,1.5491935483870969,2.064314516129032,1.5853037791127815,0.38540512540109645,1.0547505647725801,Latn
mt5,kon_Latn,1.44862772695285,1.8181818181818181,1.4530200349205409,0.32748385891894777,1.0012139160130196,Latn
mt5,kor_Hang,1.2586618876941458,1.5598823529411765,1.269775975851558,0.6504509967406958,2.3921625104221937,Hang
mt5,lao_Laoo,1.2343137254901961,1.6246621621621622,1.2609570595720754,0.3275373013859742,2.7730092475151626,Laoo
