lon,lat,at_risk_kwh
-24.5,12.5,178637
-24.5,13.5,459601
-24.5,14.5,90891
-24.5,16.5,7834
-24.5,17.5,9898
-24.5,18.5,52728
-24.5,19.5,110525
-24.5,20.5,11572
-24.5,22.5,27464
-24.5,32.5,712
-24.5,33.5,473
-24.5,37.5,9655
-24.5,40.5,3695
-24.5,41.5,1868
-24.5,43.5,1701
-24.5,54.5,13214
-24.5,55.5,177523
-24.5,56.5,119219
-24.5,57.5,119065
-24.5,58.5,442159
-24.5,59.5,61037
-24.5,66.5,47578
-23.5,-40.5,15933
-23.5,-37.5,574
-23.5,-27.5,105317
-23.5,-26.5,33018
-23.5,-25.5,46250
-23.5,-24.5,42918
-23.5,-23.5,68353
-23.5,-22.5,134898
-23.5,-21.5,327387
-23.5,-20.5,196149
-23.5,-19.5,74033
-23.5,-18.5,177128
-23.5,-17.5,69824
-23.5,-16.5,195
-23.5,-15.5,67721
-23.5,-13.5,37712
-23.5,-12.5,24254
-23.5,-11.5,19045
-23.5,-10.5,35752
-23.5,-9.5,158276
-23.5,-8.5,363903
-23.5,-7.5,977481
-23.5,-6.5,959132
-23.5,-5.5,682718
-23.5,-4.5,152010
-23.5,-3.5,240617
-23.5,-2.5,216814
-23.5,-1.5,101335
-23.5,-0.5,17220
-23.5,0.5,8936
-23.5,1.5,358579
-23.5,2.5,476007
-23.5,3.5,333000
-23.5,4.5,404634
-23.5,5.5,862168
-23.5,6.5,849132
-23.5,7.5,823512
-23.5,8.5,1434366
-23.5,9.5,527143
-23.5,10.5,344604
-23.5,11.5,198568
-23.5,12.5,196630
-23.5,13.5,340745
-23.5,14.5,49531
-23.5,17.5,87565
-23.5,18.5,109891
-23.5,19.5,27650
-23.5,20.5,39381
-23.5,21.5,29895
-23.5,22.5,41832
-23.5,23.5,27515
-23.5,40.5,6675
-23.5,51.5,5211
-23.5,55.5,138254
-23.5,56.5,219272
-23.5,57.5,283008
-23.5,58.5,806294
-23.5,59.5,143332
-23.5,66.5,90162
-22.5,-41.5,131
-22.5,-40.5,67679
-22.5,-38.5,37571
-22.5,-37.5,1601
-22.5,-35.5,20262
-22.5,-33.5,1802
-22.5,-27.5,26126
-22.5,-26.5,14274
-22.5,-25.5,52464
-22.5,-24.5,164544
-22.5,-23.5,194481
-22.5,-22.5,186323
-22.5,-21.5,126745
-22.5,-20.5,105443
-22.5,-19.5,45686
-22.5,-18.5,59271
-22.5,-17.5,27070
-22.5,-15.5,26830
-22.5,-13.5,163091
-22.5,-12.5,148122
-22.5,-11.5,35532
-22.5,-10.5,98360
-22.5,-9.5,302876
-22.5,-8.5,321487
-22.5,-7.5,1566018
-22.5,-6.5,1954002
-22.5,-5.5,716218
-22.5,-4.5,138283
-22.5,-3.5,315515
-22.5,-2.5,418822
-22.5,-1.5,238916
-22.5,-0.5,34773
-22.5,0.5,27130
-22.5,1.5,604287
-22.5,2.5,421132
-22.5,3.5,409691
-22.5,4.5,417517
-22.5,5.5,525197
-22.5,6.5,885242
-22.5,7.5,835517
-22.5,8.5,998338
-22.5,9.5,450888
-22.5,10.5,270159
-22.5,11.5,179697
-22.5,12.5,96621
-22.5,13.5,170935
-22.5,14.5,23261
-22.5,15.5,31013
-22.5,16.5,6796
-22.5,17.5,542361
-22.5,18.5,153876
-22.5,19.5,40258
-22.5,20.5,25759
-22.5,21.5,32309
-22.5,22.5,45447
-22.5,23.5,35965
-22.5,40.5,8751
-22.5,42.5,5899
-22.5,43.5,828
-22.5,55.5,88448
-22.5,56.5,167120
-22.5,57.5,228549
-22.5,58.5,554053
-22.5,59.5,171615
-22.5,64.5,13979
-21.5,-41.5,34278
-21.5,-40.5,65280
-21.5,-39.5,48249
-21.5,-38.5,66807
-21.5,-37.5,391
-21.5,-35.5,4380
-21.5,-27.5,85572
-21.5,-26.5,38913
-21.5,-25.5,38780
-21.5,-24.5,174160
-21.5,-23.5,113404
-21.5,-22.5,231797
-21.5,-21.5,253220
-21.5,-20.5,85776
-21.5,-19.5,228468
-21.5,-18.5,102494
-21.5,-17.5,540
-21.5,-15.5,14902
-21.5,-14.5,22562
-21.5,-13.5,213548
-21.5,-12.5,98735
-21.5,-11.5,11023
-21.5,-10.5,201255
-21.5,-9.5,213365
-21.5,-8.5,268188
-21.5,-7.5,2003735
-21.5,-6.5,2673260
-21.5,-5.5,2214888
-21.5,-4.5,216466
-21.5,-3.5,545362
-21.5,-2.5,260729
-21.5,-1.5,190101
-21.5,-0.5,4614
-21.5,1.5,149537
-21.5,2.5,255425
-21.5,3.5,438129
-21.5,4.5,577218
-21.5,5.5,489603
-21.5,6.5,825281
-21.5,7.5,658319
-21.5,8.5,380452
-21.5,9.5,304361
-21.5,10.5,77535
-21.5,11.5,132650
-21.5,12.5,50516
-21.5,13.5,35550
-21.5,14.5,3370
-21.5,15.5,58308
-21.5,16.5,130468
-21.5,17.5,314679
-21.5,18.5,46645
-21.5,19.5,147864
-21.5,20.5,45638
-21.5,21.5,1189
-21.5,22.5,23008
-21.5,23.5,19428
-21.5,34.5,712
-21.5,35.5,2920
-21.5,39.5,470
-21.5,40.5,11562
-21.5,42.5,564
-21.5,43.5,2074
-21.5,45.5,2750
-21.5,55.5,12270
-21.5,56.5,90980
-21.5,57.5,109089
-21.5,58.5,321343
-21.5,59.5,128212
-21.5,62.5,1348
-20.5,-41.5,15483
-20.5,-40.5,41353
-20.5,-39.5,9726
-20.5,-38.5,98378
-20.5,-37.5,9294
-20.5,-36.5,2798
-20.5,-27.5,86529
-20.5,-26.5,25597
-20.5,-25.5,50044
-20.5,-24.5,90269
-20.5,-23.5,38982
-20.5,-22.5,73766
-20.5,-21.5,101650
-20.5,-20.5,104164
-20.5,-19.5,191539
-20.5,-18.5,95228
-20.5,-14.5,15505
-20.5,-13.5,142215
-20.5,-12.5,113484
-20.5,-11.5,39049
-20.5,-10.5,432687
-20.5,-9.5,393427
-20.5,-8.5,696879
-20.5,-7.5,2098670
-20.5,-6.5,2856927
-20.5,-5.5,2952506
-20.5,-4.5,338950
-20.5,-3.5,839267
-20.5,-2.5,234101
-20.5,-1.5,59389
-20.5,-0.5,4175
-20.5,0.5,16627
-20.5,1.5,311750
-20.5,2.5,425896
-20.5,3.5,549119
-20.5,4.5,706378
-20.5,5.5,598637
-20.5,6.5,358648
-20.5,7.5,315431
-20.5,8.5,136738
-20.5,9.5,97551
-20.5,10.5,49923
-20.5,11.5,18524
-20.5,12.5,12042
-20.5,13.5,2719
-20.5,15.5,3836
-20.5,16.5,93758
-20.5,17.5,116803
-20.5,18.5,28482
-20.5,19.5,460589
-20.5,20.5,81917
-20.5,21.5,407
-20.5,22.5,33214
-20.5,23.5,2114
-20.5,35.5,9741
-20.5,36.5,12421
-20.5,37.5,21198
-20.5,38.5,6656
-20.5,40.5,18739
-20.5,55.5,32086
-20.5,56.5,438755
-20.5,57.5,364580
-20.5,58.5,264436
-20.5,59.5,61544
-20.5,62.5,26497
-19.5,-41.5,7734
-19.5,-40.5,57482
-19.5,-39.5,14859
-19.5,-38.5,39357
-19.5,-37.5,33443
-19.5,-36.5,22455
-19.5,-35.5,707
-19.5,-28.5,9888
-19.5,-27.5,25287
-19.5,-26.5,28831
-19.5,-25.5,4262
-19.5,-24.5,9314
-19.5,-23.5,326371
-19.5,-22.5,162132
-19.5,-21.5,82515
-19.5,-20.5,155353
-19.5,-19.5,45473
-19.5,-18.5,70938
-19.5,-15.5,1201
-19.5,-14.5,3511
-19.5,-13.5,3576
-19.5,-12.5,37112
-19.5,-11.5,238167
-19.5,-10.5,408166
-19.5,-9.5,357918
-19.5,-8.5,749012
-19.5,-7.5,2756363
-19.5,-6.5,2840496
-19.5,-5.5,3513532
-19.5,-4.5,351469
-19.5,-3.5,362795
-19.5,-2.5,408779
-19.5,-1.5,126324
-19.5,-0.5,7503
-19.5,0.5,6230
-19.5,1.5,94816
-19.5,2.5,496899
-19.5,3.5,510275
-19.5,4.5,480249
-19.5,5.5,475990
-19.5,6.5,305402
-19.5,7.5,226250
-19.5,8.5,62744
-19.5,9.5,37310
-19.5,10.5,15741
-19.5,12.5,1362
-19.5,16.5,17845
-19.5,17.5,113784
-19.5,18.5,174151
-19.5,19.5,974184
-19.5,20.5,248809
-19.5,21.5,16461
-19.5,22.5,4789
-19.5,23.5,1404
-19.5,36.5,871
-19.5,37.5,47776
-19.5,38.5,261
-19.5,40.5,9276
-19.5,42.5,555
-19.5,43.5,370
-19.5,51.5,3741
-19.5,54.5,114037
-19.5,55.5,134476
-19.5,56.5,843460
-19.5,57.5,388924
-19.5,58.5,282773
-19.5,59.5,8639
-18.5,-40.5,18328
-18.5,-38.5,8389
-18.5,-37.5,70247
-18.5,-36.5,26558
-18.5,-35.5,4006
-18.5,-28.5,4213
-18.5,-27.5,7161
-18.5,-26.5,5489
-18.5,-24.5,28704
-18.5,-23.5,150625
-18.5,-22.5,55073
-18.5,-21.5,12911
-18.5,-20.5,9385
-18.5,-19.5,30875
-18.5,-18.5,46121
-18.5,-17.5,2818
-18.5,-12.5,9568
-18.5,-11.5,108828
-18.5,-10.5,396934
-18.5,-9.5,376757
-18.5,-8.5,293968
-18.5,-7.5,1213862
-18.5,-6.5,3422251
-18.5,-5.5,4209671
-18.5,-4.5,385225
-18.5,-3.5,347589
-18.5,-2.5,164041
-18.5,-1.5,37591
-18.5,-0.5,11456
-18.5,0.5,39238
-18.5,1.5,298080
-18.5,2.5,631300
-18.5,3.5,993077
-18.5,4.5,641153
-18.5,5.5,208923
-18.5,6.5,140882
-18.5,7.5,60632
-18.5,8.5,32478
-18.5,10.5,597
-18.5,12.5,1282
-18.5,13.5,6005
-18.5,15.5,5708
-18.5,16.5,162202
-18.5,17.5,352427
-18.5,18.5,568363
-18.5,19.5,368525
-18.5,20.5,92128
-18.5,21.5,550893
-18.5,22.5,151031
-18.5,25.5,164
-18.5,26.5,544
-18.5,37.5,9082
-18.5,38.5,7383
-18.5,39.5,424
-18.5,40.5,8453
-18.5,42.5,392
-18.5,46.5,6097
-18.5,50.5,8847
-18.5,54.5,1075651
-18.5,55.5,699640
-18.5,56.5,357517
-18.5,57.5,137276
-18.5,58.5,465923
-18.5,59.5,59238
-17.5,-38.5,8583
-17.5,-37.5,103264
-17.5,-36.5,41992
-17.5,-25.5,4752
-17.5,-24.5,33728
-17.5,-23.5,29062
-17.5,-22.5,21406
-17.5,-21.5,78861
-17.5,-20.5,97180
-17.5,-19.5,119751
-17.5,-18.5,220301
-17.5,-13.5,55103
-17.5,-12.5,7856
-17.5,-11.5,357862
-17.5,-10.5,263965
-17.5,-9.5,74811
-17.5,-8.5,20707
-17.5,-7.5,14931
-17.5,-6.5,574817
-17.5,-5.5,3463361
-17.5,-4.5,770667
-17.5,-3.5,375761
-17.5,-2.5,221763
-17.5,-1.5,117599
-17.5,-0.5,41558
-17.5,0.5,80109
-17.5,1.5,193307
-17.5,2.5,303502
-17.5,3.5,573725
-17.5,4.5,790651
-17.5,5.5,459093
-17.5,6.5,102345
-17.5,7.5,35664
-17.5,8.5,69
-17.5,10.5,9162
-17.5,11.5,1400343
-17.5,12.5,192392
-17.5,13.5,2075
-17.5,14.5,42099
-17.5,16.5,440928
-17.5,17.5,980299
-17.5,18.5,962441
-17.5,19.5,287943
-17.5,20.5,241581
-17.5,21.5,494520
-17.5,22.5,373967
-17.5,23.5,11409
-17.5,24.5,1894
-17.5,26.5,394
-17.5,38.5,7196
-17.5,40.5,4652
-17.5,42.5,2551
-17.5,43.5,8643
-17.5,44.5,2112
-17.5,45.5,1200
-17.5,49.5,20282
-17.5,50.5,5622
-17.5,51.5,1056
-17.5,53.5,16579
-17.5,54.5,146199
-17.5,55.5,3899590
-17.5,56.5,554440
-17.5,57.5,600315
-17.5,58.5,236928
-17.5,59.5,544478
-16.5,-37.5,1372
-16.5,-36.5,5422
-16.5,-35.5,221
-16.5,-28.5,118
-16.5,-27.5,4745
-16.5,-25.5,35361
-16.5,-24.5,2469
-16.5,-23.5,26115
-16.5,-22.5,20710
-16.5,-21.5,47169
-16.5,-20.5,9902
-16.5,-19.5,64305
-16.5,-18.5,52166
-16.5,-17.5,7255
-16.5,-13.5,99076
-16.5,-12.5,123022
-16.5,-11.5,144070
-16.5,-10.5,52163
-16.5,-5.5,133616
-16.5,-4.5,88797
-16.5,-3.5,289516
-16.5,-2.5,688203
-16.5,-1.5,128627
-16.5,-0.5,32516
-16.5,0.5,52002
-16.5,1.5,399340
-16.5,2.5,537400
-16.5,3.5,346780
-16.5,4.5,288118
-16.5,5.5,358610
-16.5,6.5,276752
-16.5,7.5,10119
-16.5,10.5,223460
-16.5,11.5,299684
-16.5,12.5,13076
-16.5,16.5,60431
-16.5,17.5,331580
-16.5,18.5,63460
-16.5,19.5,69917
-16.5,23.5,3371
-16.5,24.5,7685
-16.5,26.5,30605
-16.5,27.5,627
-16.5,28.5,4069
-16.5,37.5,7842
-16.5,38.5,9389
-16.5,40.5,5631
-16.5,44.5,5438
-16.5,48.5,470
-16.5,49.5,127784
-16.5,50.5,250054
-16.5,51.5,9649
-16.5,52.5,26776
-16.5,53.5,7286453
-16.5,54.5,583526
-16.5,55.5,936362
-16.5,56.5,168770
-16.5,57.5,639037
-16.5,58.5,463786
-16.5,59.5,653721
-16.5,60.5,123030
-15.5,-41.5,1385
-15.5,-28.5,16579
-15.5,-26.5,4305
-15.5,-25.5,33970
-15.5,-24.5,27102
-15.5,-23.5,38126
-15.5,-22.5,1423
-15.5,-21.5,757
-15.5,-19.5,29656
-15.5,-18.5,183456
-15.5,-17.5,52822
-15.5,-14.5,12770
-15.5,-13.5,91529
-15.5,-12.5,204557
-15.5,-11.5,320552
-15.5,-4.5,48209
-15.5,-3.5,297932
-15.5,-2.5,468473
-15.5,-1.5,351675
-15.5,-0.5,46069
-15.5,0.5,52501
-15.5,1.5,270413
-15.5,2.5,691122
-15.5,3.5,378126
-15.5,4.5,43770
-15.5,5.5,8530
-15.5,25.5,602
-15.5,26.5,13087
-15.5,27.5,16459
-15.5,28.5,93755
-15.5,29.5,566
-15.5,35.5,3119
-15.5,37.5,73541
-15.5,38.5,5569
-15.5,44.5,3229
-15.5,48.5,131936
-15.5,49.5,3402084
-15.5,50.5,5469132
-15.5,51.5,8680
-15.5,53.5,318565
-15.5,54.5,45223
-15.5,55.5,85862
-15.5,56.5,75499
-15.5,57.5,318690
-15.5,58.5,300358
-15.5,59.5,701749
-15.5,60.5,644033
-14.5,-42.5,14586
-14.5,-31.5,3061
-14.5,-25.5,24230
-14.5,-24.5,2011
-14.5,-19.5,9546
-14.5,-18.5,123353
-14.5,-14.5,20882
-14.5,-13.5,181056
-14.5,-12.5,126420
-14.5,-11.5,324342
-14.5,-4.5,207512
-14.5,-3.5,300944
-14.5,-2.5,609106
-14.5,-1.5,317862
-14.5,-0.5,19031
-14.5,0.5,75068
-14.5,1.5,414507
-14.5,2.5,609837
-14.5,3.5,358821
-14.5,4.5,8643
-14.5,37.5,41845
-14.5,38.5,10647
-14.5,40.5,1227
-14.5,48.5,20050
-14.5,49.5,70595
-14.5,50.5,14515
-14.5,56.5,9045
-14.5,58.5,55143
-14.5,59.5,890540
-14.5,60.5,251210
-13.5,-44.5,2387
-13.5,-42.5,18645
-13.5,-31.5,2779
-13.5,-26.5,15796
-13.5,-25.5,64472
-13.5,-19.5,229836
-13.5,-18.5,276498
-13.5,-17.5,13038
-13.5,-16.5,9334
-13.5,-13.5,425551
-13.5,-12.5,385539
-13.5,-11.5,253108
-13.5,-4.5,85931
-13.5,-3.5,139870
-13.5,-2.5,485880
-13.5,-1.5,345230
-13.5,-0.5,104067
-13.5,0.5,64514
-13.5,1.5,308365
-13.5,2.5,634266
-13.5,3.5,423630
-13.5,34.5,6186
-13.5,35.5,1038
-13.5,36.5,4054
-13.5,37.5,4605
-13.5,42.5,475
-13.5,48.5,3112
-13.5,54.5,26627
-13.5,56.5,1197
-13.5,60.5,31352
-12.5,-44.5,19135
-12.5,-26.5,30324
-12.5,-25.5,17604
-12.5,-19.5,1367
-12.5,-18.5,83906
-12.5,-17.5,24372
-12.5,-16.5,4112
-12.5,-13.5,405010
-12.5,-12.5,673071
-12.5,-11.5,669647
-12.5,-10.5,41851
-12.5,-6.5,696
-12.5,-5.5,18572
-12.5,-4.5,49574
-12.5,-3.5,340459
-12.5,-2.5,1067550
-12.5,-1.5,578899
-12.5,-0.5,110939
-12.5,0.5,11937
-12.5,1.5,378734
-12.5,2.5,542417
-12.5,3.5,58161
-12.5,42.5,414
-12.5,48.5,19080
-12.5,54.5,379262
-12.5,57.5,23211
-12.5,60.5,5611
-11.5,-45.5,6925
-11.5,-44.5,52530
-11.5,-28.5,22307
-11.5,-26.5,16053
-11.5,-25.5,21187
-11.5,-24.5,152
-11.5,-18.5,19232
-11.5,-17.5,12611
-11.5,-15.5,1241
-11.5,-14.5,2129
-11.5,-13.5,178166
-11.5,-12.5,178448
-11.5,-11.5,652178
-11.5,-10.5,817995
-11.5,-9.5,41895
-11.5,-7.5,913
-11.5,-6.5,68452
-11.5,-5.5,405845
-11.5,-4.5,188893
-11.5,-3.5,456624
-11.5,-2.5,1181323
-11.5,-1.5,528818
-11.5,-0.5,70629
-11.5,0.5,28246
-11.5,1.5,322287
-11.5,2.5,171081
-11.5,39.5,647
-11.5,40.5,441
-11.5,57.5,23149
-11.5,58.5,20592
-11.5,60.5,21119
-11.5,61.5,3927
-10.5,-44.5,79701
-10.5,-36.5,20404
-10.5,-29.5,20701
-10.5,-28.5,10428
-10.5,-26.5,23183
-10.5,-25.5,29
-10.5,-18.5,12087
-10.5,-17.5,9223
-10.5,-16.5,34465
-10.5,-15.5,70588
-10.5,-13.5,232296
-10.5,-12.5,307177
-10.5,-11.5,720123
-10.5,-10.5,825784
-10.5,-9.5,306543
-10.5,-8.5,387845
-10.5,-7.5,983359
-10.5,-6.5,1103145
-10.5,-5.5,444804
-10.5,-4.5,361210
-10.5,-3.5,422669
-10.5,-2.5,750516
-10.5,-1.5,521678
-10.5,-0.5,40471
-10.5,0.5,16557
-10.5,1.5,190229
-10.5,2.5,653
-10.5,40.5,1382
-10.5,41.5,1891
-10.5,53.5,3092
-10.5,57.5,72553
-10.5,58.5,57777
-10.5,59.5,8796
-10.5,60.5,502769
-10.5,66.5,2053
-9.5,-44.5,45439
-9.5,-35.5,25033
-9.5,-30.5,21962
-9.5,-29.5,26457
-9.5,-28.5,19953
-9.5,-27.5,2623
-9.5,-26.5,22910
-9.5,-17.5,3483
-9.5,-16.5,17210
-9.5,-15.5,82592
-9.5,-14.5,44456
-9.5,-13.5,445063
-9.5,-12.5,271270
-9.5,-11.5,288599
-9.5,-10.5,256148
-9.5,-9.5,337587
-9.5,-8.5,282402
-9.5,-7.5,753787
-9.5,-6.5,766001
-9.5,-5.5,602335
-9.5,-4.5,171860
-9.5,-3.5,299305
-9.5,-2.5,1022336
-9.5,-1.5,350761
-9.5,-0.5,11462
-9.5,0.5,35302
-9.5,1.5,43758
-9.5,40.5,18413
-9.5,41.5,8664
-9.5,42.5,18892
-9.5,57.5,72940
-9.5,58.5,84639
-9.5,59.5,133089
-9.5,60.5,2402381
-8.5,-44.5,47833
-8.5,-35.5,7988
-8.5,-34.5,15477
-8.5,-30.5,22303
-8.5,-29.5,31072
-8.5,-28.5,140
-8.5,-27.5,21907
-8.5,-26.5,3736
-8.5,-13.5,648691
-8.5,-12.5,387264
-8.5,-11.5,345037
-8.5,-10.5,146903
-8.5,-9.5,78294
-8.5,-8.5,88909
-8.5,-7.5,267027
-8.5,-6.5,502908
-8.5,-5.5,322246
-8.5,-4.5,145320
-8.5,-3.5,431810
-8.5,-2.5,723796
-8.5,-1.5,397707
-8.5,-0.5,18425
-8.5,0.5,44484
-8.5,40.5,90379
-8.5,41.5,5945
-8.5,42.5,5206
-8.5,59.5,4738164
-8.5,60.5,15714196
-8.5,61.5,1665479
-8.5,62.5,9457
-8.5,63.5,5005
-8.5,64.5,313845
-7.5,-44.5,40862
-7.5,-43.5,7140
-7.5,-37.5,5378
-7.5,-36.5,11982
-7.5,-35.5,4537
-7.5,-30.5,6260
-7.5,-29.5,78317
-7.5,-28.5,41477
-7.5,-27.5,34938
-7.5,-26.5,5108
-7.5,-13.5,8298
-7.5,-12.5,287940
-7.5,-11.5,288529
-7.5,-10.5,65565
-7.5,-9.5,117476
-7.5,-8.5,110022
-7.5,-7.5,143598
-7.5,-6.5,471220
-7.5,-5.5,118006
-7.5,-4.5,89507
-7.5,-3.5,382157
-7.5,-2.5,660391
-7.5,-1.5,438442
-7.5,-0.5,17901
-7.5,0.5,95239
-7.5,1.5,819
-7.5,59.5,5822498
-7.5,60.5,13926859
-7.5,61.5,4830398
-7.5,62.5,99794
-7.5,63.5,91338
-7.5,64.5,817610
-6.5,-45.5,58580
-6.5,-44.5,335932
-6.5,-43.5,292863
-6.5,-37.5,43989
-6.5,-36.5,79689
-6.5,-35.5,5748
-6.5,-30.5,10694
-6.5,-29.5,87966
-6.5,-28.5,180884
-6.5,-27.5,95493
-6.5,-22.5,7314
-6.5,-12.5,696587
-6.5,-11.5,603227
-6.5,-10.5,295640
-6.5,-9.5,227989
-6.5,-8.5,89922
-6.5,-7.5,108227
-6.5,-6.5,416920
-6.5,-5.5,251868
-6.5,-4.5,203390
-6.5,-3.5,715937
-6.5,-2.5,1236337
-6.5,-1.5,540843
-6.5,-0.5,54788
-6.5,0.5,86347
-6.5,1.5,45971
-6.5,2.5,49810
-6.5,3.5,8240
-6.5,4.5,4684
-6.5,59.5,1262407
-6.5,60.5,16633713
-6.5,61.5,114239
-6.5,62.5,1125442
-6.5,63.5,277205
-6.5,64.5,746769
-6.5,66.5,83948
-6.5,67.5,92339
-5.5,-45.5,36868
-5.5,-44.5,450357
-5.5,-43.5,716527
-5.5,-42.5,36490
-5.5,-37.5,5963
-5.5,-36.5,26861
-5.5,-35.5,20661
-5.5,-32.5,1652
-5.5,-30.5,1485
-5.5,-29.5,134931
-5.5,-28.5,21802
-5.5,-27.5,15258
-5.5,-26.5,35165
-5.5,-25.5,993
-5.5,-23.5,4018
-5.5,-22.5,3758
-5.5,-12.5,84345
-5.5,-11.5,598597
-5.5,-10.5,578625
-5.5,-9.5,269157
-5.5,-8.5,319901
-5.5,-7.5,89934
-5.5,-6.5,147366
-5.5,-5.5,235362
-5.5,-4.5,153943
-5.5,-3.5,746377
-5.5,-2.5,865654
-5.5,-1.5,360227
-5.5,-0.5,119918
-5.5,0.5,228796
-5.5,1.5,404684
-5.5,2.5,45607
-5.5,3.5,122017
-5.5,4.5,3673
-5.5,49.5,12960
-5.5,59.5,122457
-5.5,60.5,11138795
-5.5,61.5,397133
-5.5,62.5,142268
-5.5,63.5,1676292
-5.5,64.5,596214
-5.5,65.5,2196089
-5.5,66.5,1076366
-5.5,67.5,786044
-4.5,-45.5,27436
-4.5,-44.5,382049
-4.5,-43.5,332707
-4.5,-42.5,69891
-4.5,-41.5,2029
-4.5,-38.5,7368
-4.5,-37.5,80708
-4.5,-36.5,62310
-4.5,-35.5,65824
-4.5,-33.5,8091
-4.5,-32.5,13598
-4.5,-29.5,2150
-4.5,-28.5,21128
-4.5,-27.5,93281
-4.5,-26.5,127085
-4.5,-25.5,376
-4.5,-23.5,5057
-4.5,-12.5,146062
-4.5,-11.5,329760
-4.5,-10.5,523660
-4.5,-9.5,405810
-4.5,-8.5,98860
-4.5,-7.5,245452
-4.5,-6.5,44508
-4.5,-5.5,76131
-4.5,-4.5,67375
-4.5,-3.5,355609
-4.5,-2.5,976286
-4.5,-1.5,357134
-4.5,-0.5,32266
-4.5,0.5,251030
-4.5,1.5,396241
-4.5,2.5,19971
-4.5,3.5,126491
-4.5,4.5,4896
-4.5,59.5,7188
-4.5,60.5,607812
-4.5,61.5,4160051
-4.5,62.5,227706
-4.5,63.5,1211971
-4.5,64.5,828041
-4.5,65.5,6105419
-4.5,66.5,2632092
-4.5,67.5,1367224
-3.5,-45.5,29416
-3.5,-44.5,329821
-3.5,-43.5,221877
-3.5,-42.5,241652
-3.5,-41.5,13647
-3.5,-37.5,15510
-3.5,-36.5,6546
-3.5,-35.5,37693
-3.5,-33.5,8118
-3.5,-32.5,12113
-3.5,-30.5,37393
-3.5,-29.5,104901
-3.5,-28.5,14421
-3.5,-27.5,86276
-3.5,-26.5,99357
-3.5,-25.5,2678
-3.5,-20.5,4063
-3.5,-19.5,32439
-3.5,-12.5,296954
-3.5,-11.5,504254
-3.5,-10.5,342728
-3.5,-9.5,386058
-3.5,-8.5,203536
-3.5,-7.5,99828
-3.5,-6.5,149783
-3.5,-5.5,77792
-3.5,-4.5,61813
-3.5,-3.5,410267
-3.5,-2.5,884372
-3.5,-1.5,619213
-3.5,-0.5,156238
-3.5,0.5,186392
-3.5,1.5,235024
-3.5,60.5,62266
-3.5,61.5,1828237
-3.5,62.5,1917868
-3.5,63.5,1508145
-3.5,64.5,914413
-3.5,65.5,3572813
-3.5,66.5,3529133
-3.5,67.5,796813
-3.5,68.5,9968
-2.5,-45.5,10010
-2.5,-44.5,308914
-2.5,-43.5,448527
-2.5,-42.5,86222
-2.5,-41.5,15720
-2.5,-37.5,18928
-2.5,-36.5,29123
-2.5,-35.5,40606
-2.5,-34.5,3137
-2.5,-33.5,1594
-2.5,-32.5,17763
-2.5,-30.5,76389
-2.5,-29.5,46640
-2.5,-27.5,2152
-2.5,-26.5,8703
-2.5,-23.5,4838
-2.5,-22.5,2640
-2.5,-21.5,7134
-2.5,-20.5,2561
-2.5,-19.5,27753
-2.5,-13.5,10829
-2.5,-12.5,184355
-2.5,-11.5,252998
-2.5,-10.5,198062
-2.5,-9.5,515686
-2.5,-8.5,379605
-2.5,-7.5,184346
-2.5,-6.5,223253
-2.5,-5.5,136155
-2.5,-4.5,185800
-2.5,-3.5,674979
-2.5,-2.5,1008058
-2.5,-1.5,626661
-2.5,-0.5,103490
-2.5,0.5,300908
-2.5,1.5,272422
-2.5,60.5,201718
-2.5,61.5,16643
-2.5,62.5,1303428
-2.5,63.5,1944773
-2.5,64.5,1703184
-2.5,65.5,4330408
-2.5,66.5,2672127
-2.5,67.5,1007024
-2.5,68.5,60875
-1.5,-45.5,10822
-1.5,-44.5,544533
-1.5,-43.5,338556
-1.5,-42.5,339562
-1.5,-41.5,16481
-1.5,-40.5,917
-1.5,-37.5,9877
-1.5,-36.5,38683
-1.5,-35.5,21501
-1.5,-33.5,1227
-1.5,-32.5,1441
-1.5,-31.5,1513
-1.5,-30.5,22622
-1.5,-29.5,49181
-1.5,-28.5,15589
-1.5,-27.5,2020
-1.5,-25.5,4762
-1.5,-23.5,32152
-1.5,-22.5,79077
-1.5,-21.5,28909
-1.5,-17.5,543
-1.5,-16.5,72373
-1.5,-15.5,13122
-1.5,-14.5,13379
-1.5,-13.5,99019
-1.5,-12.5,226565
-1.5,-11.5,574921
-1.5,-10.5,664246
-1.5,-9.5,354721
-1.5,-8.5,355533
-1.5,-7.5,172921
-1.5,-6.5,79896
-1.5,-5.5,52044
-1.5,-4.5,116412
-1.5,-3.5,437893
-1.5,-2.5,1510242
-1.5,-1.5,1021674
-1.5,-0.5,206597
-1.5,0.5,524057
-1.5,1.5,464456
-1.5,60.5,52944
-1.5,61.5,790702
-1.5,62.5,7298
-1.5,63.5,1366182
-1.5,64.5,5487773
-1.5,65.5,8289030
-1.5,66.5,2544517
-1.5,67.5,2334727
-1.5,68.5,1584687
-1.5,72.5,3132
-0.5,-45.5,9647
-0.5,-44.5,608531
-0.5,-43.5,599338
-0.5,-42.5,127885
-0.5,-41.5,15024
-0.5,-37.5,7688
-0.5,-36.5,24906
-0.5,-35.5,13895
-0.5,-34.5,7581
-0.5,-33.5,10187
-0.5,-32.5,19521
-0.5,-31.5,45337
-0.5,-30.5,22634
