date,open_share_paid,ratio_g,ratio_w,front_open,front_closed,frontier_gap,mean_q_closed,mean_q_open,n_models_closed,n_models_open,n_scored_closed,n_scored_open,unweighted_gap,cover_open,cover_closed,y,trend,log_ratio_g,frontier_rel,unweighted_rel,frontier_rel_lag1,frontier_rel_lag2,frontier_rel_lag4
2025-03-31,0.2238246920334041,5.497995190918743,10.75421753385216,11.4,17.7,6.299999999999999,,,21,29,9,9,,0.3103448275862069,0.42857142857142855,-1.2435152864035024,0.25,1.7043835150461895,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-04-07,0.1976850041851321,5.226616455393219,11.48070448090144,11.4,17.7,6.299999999999999,,,25,28,9,9,,0.32142857142857145,0.36,-1.40082641768213,0.2692307692307692,1.6537641194592607,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-04-14,0.1757736139718784,4.7673366326779245,12.14146478565055,11.4,17.7,6.299999999999999,,,25,25,12,9,,0.36,0.48,-1.5452483496868583,0.28846153846153844,1.5617877910312554,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-04-21,0.1878428727904599,5.196917979131767,12.177079404421502,11.4,17.7,6.299999999999999,,,27,25,13,9,,0.36,0.48148148148148145,-1.4640879975183012,0.3076923076923077,1.6480657535526697,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-04-28,0.1967529351428682,5.4919329727077875,11.477975509193158,11.4,17.7,6.299999999999999,,,24,26,13,9,,0.34615384615384615,0.5416666666666666,-1.406713538585165,0.3269230769230769,1.7032802832987992,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-05-05,0.1798369563305278,6.9186378078551485,8.771646269338552,11.4,17.7,6.299999999999999,,,24,25,13,9,,0.36,0.5416666666666666,-1.5174525119933249,0.34615384615384615,1.9342189016765088,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-05-12,0.1310994917864086,5.0361621326730726,7.691403514678531,11.4,17.7,6.299999999999999,,,26,23,13,8,,0.34782608695652173,0.5,-1.8912721145098004,0.36538461538461536,1.6166443103964017,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-05-19,0.1201569238692636,7.354935053614064,8.690590121032725,11.4,17.7,6.299999999999999,,,24,26,14,9,,0.34615384615384615,0.5833333333333334,-1.990944981593135,0.38461538461538464,1.9953715237783929,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-05-26,0.1287058474427093,7.456544617674504,8.90235924825445,11.4,18.9,7.499999999999998,,,24,24,15,8,,0.3333333333333333,0.625,-1.9124500897991468,0.40384615384615385,2.0090921189316924,0.5055485666651468,,0.43995128417933366,0.43995128417933366,0.43995128417933366
2025-06-02,0.1448000718600914,8.41765262849442,8.59202784386231,13.1,18.9,5.799999999999999,,,21,25,15,8,,0.32,0.7142857142857143,-1.775981299460755,0.4230769230769231,2.130331004171974,0.36654969185849073,,0.5055485666651468,0.43995128417933366,0.43995128417933366
2025-06-09,0.1562146913057209,8.715799652953269,9.726733533433435,13.1,18.9,5.799999999999999,,,25,24,14,9,,0.375,0.56,-1.68666680121575,0.4423076923076923,2.1651374306953417,0.36654969185849073,,0.36654969185849073,0.5055485666651468,0.43995128417933366
2025-06-16,0.148676918021043,7.603482015667488,8.848626849941702,13.1,18.9,5.799999999999999,,,26,23,18,8,,0.34782608695652173,0.6923076923076923,-1.745016090050491,0.46153846153846156,2.028606302325308,0.36654969185849073,,0.36654969185849073,0.36654969185849073,0.43995128417933366
2025-06-23,0.1587564456309097,9.65553484163257,9.07731748475902,13.1,18.9,5.799999999999999,,,29,24,18,8,,0.3333333333333333,0.6206896551724138,-1.6675099796132153,0.4807692307692308,2.267531309647361,0.36654969185849073,,0.36654969185849073,0.36654969185849073,0.5055485666651468
2025-06-30,0.1927572526797908,11.001932874641367,10.077548788718197,13.1,18.9,5.799999999999999,,,26,27,16,9,,0.3333333333333333,0.6153846153846154,-1.4321927860422108,0.5,2.398070973238632,0.36654969185849073,,0.36654969185849073,0.36654969185849073,0.36654969185849073
2025-07-07,0.1778970577531131,9.58089753078761,8.989790640440567,13.1,18.9,5.799999999999999,,,26,25,17,10,,0.4,0.6538461538461539,-1.530660565325377,0.5192307692307693,2.2597712755679793,0.36654969185849073,,0.36654969185849073,0.36654969185849073,0.36654969185849073
2025-07-14,0.2098295017379753,8.822472611117133,10.58678875867236,13.1,22.5,9.4,,,27,27,17,9,,0.3333333333333333,0.6296296296296297,-1.3259534382948144,0.5384615384615384,2.1773021721268937,0.5409030790032686,,0.36654969185849073,0.36654969185849073,0.36654969185849073
2025-07-21,0.2099976839218252,8.771953332720814,12.074494366436458,13.1,22.5,9.4,,,25,27,16,12,,0.4444444444444444,0.64,-1.3249393754883347,0.5576923076923077,2.1715595105142236,0.5409030790032686,,0.5409030790032686,0.36654969185849073,0.36654969185849073
2025-07-28,0.2473455192460604,8.773005236372857,12.99151161309636,13.1,22.5,9.4,,,24,27,16,12,,0.4444444444444444,0.6666666666666666,-1.1128200431178648,0.5769230769230769,2.1716794200197556,0.5409030790032686,,0.5409030790032686,0.5409030790032686,0.36654969185849073
2025-08-04,0.3219610333779574,13.212230992981212,15.938297239212586,13.1,22.5,9.4,,,27,25,20,13,,0.52,0.7407407407407407,-0.7447742353153493,0.5961538461538461,2.5811429909498225,0.5409030790032686,,0.5409030790032686,0.5409030790032686,0.36654969185849073
