date,tokens_closed,tokens_open,spend_closed,spend_open,tokens_total,share_open
2026-01-12,4835020918169,1447179477585,15340366.501075657,422906.72839537525,6282200395754,0.23036187743439648
2026-01-19,4453064300243,1548823784680,12128366.439470887,448791.961583342,6001888084923,0.25805609214385583
2026-01-26,4875811044982,2317504403617,13376664.194901457,998138.8927032207,7193315448599,0.3221747218201541
2026-02-02,5064414468132,3400579090480,14234803.60052955,1952012.0735523035,8464993558612,0.4017225845399924
2026-02-09,5552505019589,5678868304646,16341765.519021519,3318167.328279079,11231373324235,0.5056254601022091
2026-02-16,5781864898231,6354905601347,18157271.05222562,3486608.4521532557,12136770499578,0.5236076270510316
2026-02-23,6350727399112,5207452415394,20720000.310217112,2518412.273125731,11558179814506,0.45054260263873286
2026-03-02,7038091925779,5245863734390,22855521.3413236,2552836.3675892176,12283955660169,0.42705003823807586
2026-03-09,7442577319075,5184544346665,24529508.138406932,2402352.2943051574,12627121665740,0.41058797752236315
2026-03-16,10234112148637,5055433936191,30436939.787720945,2169672.5801697467,15289546084828,0.3306464369931536
2026-03-23,13208816737872,5649635070757,35152886.777244925,2524374.7609485374,18858451808629,0.2995810646646993
2026-03-30,11791429012549,5544209278260,32427128.30290906,2420753.8576163896,17335638290809,0.31981569903886525
2026-04-06,9753251970219,6275718978819,31968396.908269297,2956516.367533427,16028970949038,0.3915235106964646
2026-04-13,10848130220490,6228709041280,37174163.94615742,2917149.257940076,17076839261770,0.3647460133459381
2026-04-20,10175356037393,7521268896833,38148735.849936396,4892172.605477513,17696624934226,0.425011488054231
2026-04-27,8843882634091,7914740880094,34036916.26406012,5554618.693699012,16758623514185,0.472278697196982
2026-05-04,9258484992992,9317348780985,38674575.081852935,5466046.466142747,18575833773977,0.5015844184629673
2026-05-11,9587848913826,12123886988264,43594315.14293951,5174372.547543892,21711735902090,0.5584024714991553
2026-05-18,10576102088250,13070602342965,50580392.90469193,4462560.137116757,23646704431215,0.5527451988494032
2026-05-25,11176206699396,14680735899627,57868744.41394612,5612032.768921607,25856942599023,0.5677676640772568
2026-06-01,13206024446868,16373609179774,56364286.962026104,4702423.38325557,29579633626642,0.5535433395302942
2026-06-08,14907697501007,21572378281178,73170775.78537947,6670022.230752477,36480075782185,0.5913468604062726
2026-06-15,12778644991277,26029810145600,75219856.72844282,10978423.55266318,38808455136877,0.6707252338129189
2026-06-22,12628310310123,25752204809551,75092140.28604163,10624568.993269373,38380515119674,0.6709707967507273
2026-06-29,13306436884965,27052884944388,81124361.09158035,11336982.244472347,40359321829353,0.6703007810382151
2026-07-06,12977850307763,26960770082908,81205301.02599591,12474177.991241094,39938620390671,0.6750551175574805
2026-07-13,14014033006117,29500863646217,87266635.67513372,14347687.971557416,43514896652334,0.6779486087699272
2026-07-20,12369540592119,35699646324188,64911255.1170412,20616433.917234838,48069186916307,0.7426721485084501
2026-07-27,12759842343388,33761466101480,50353195.18867292,20665103.915260237,46521308444868,0.7257204758436754
2026-08-03,17914217097419,41294117113640,61350377.127747945,21010050.846603826,59208334211059,0.6974375763796955
2026-08-10,21318485138666,44068949189166,79443535.09745084,22165858.212307524,65387434327832,0.6739666365898097
2026-08-17,20112532635008,48407910217033,66881581.698445216,25204004.867455717,68520442852041,0.7064739835608211
2026-08-24,24189829052896,56035795396166,56702543.37371054,32019616.8759757,80225624449062,0.6984775223749744
2026-08-31,29915613195200,65554100403942,69742230.89025605,48846888.92193286,95469713599142,0.6866481309370047
2026-09-07,36574434066810,73304670855275,76580196.49506149,46785053.1066085,109879104922085,0.667139315589212
2026-09-14,28682528969136,79651691363421,93962965.27958125,44653664.36402314,108334220332557,0.7352403618996073
2026-09-21,4008384982306,13774869200062,11651041.402108936,6758915.940376027,17783254182368,0.7745977793940385
