quarter,creator,label,total_tokens,spend_usd,spend_share,token_share,price_per_mtok,price_vs_average
2025Q1,google,open,17643026897,3808.186022085,0.00012878102070462452,0.0016959412484003212,0.2158465236332287,0.07593483608355883
2025Q1,anthracite-org,open,1289259039,2538.22873303125,8.583501045534649e-05,0.00012393041153753779,1.96875,0.6926065151437633
2025Q1,qwen,closed,5294264442,1404.482581825,4.749523773270463e-05,0.0005089127562716377,0.2652837985732409,0.09332687606547932
2025Q1,amazon,closed,11468759149,1373.6739016874992,4.645338388111747e-05,0.0011024379105869287,0.11977528552487517,0.04213696157853106
2025Q1,nvidia,open,4755031294,821.2950512999995,2.7773647188632567e-05,0.00045707880830245695,0.17272127153744016,0.06076336658831547
2025Q1,liquid,closed,17822105115,487.97055977,1.650164839546931e-05,0.00171315519577847,0.027380074161906885,0.009632313777603109
2025Q1,openchat,open,7577631296,416.76972128,1.4093857231227003e-05,0.0007284020794776882,0.05499999999999999,0.019349007407190845
2025Q1,cognitivecomputations,open,390021344,351.01920959999995,1.1870379187639787e-05,3.749091858827262e-05,0.8999999999999999,0.31662012120857747
2025Q1,infermatic,open,306011122,95.628475625,3.233857964919532e-06,2.9415410819178042e-05,0.3125,0.10993754208631162
2025Q2,anthropic,closed,6206588803009,39238816.2495143,0.7634967359077836,0.2770885793835632,6.322122746474042,2.755424772851803
2025Q2,google,closed,8512918644661,7355892.998074144,0.14312868813380797,0.3800529741092861,0.8640859034506925,0.3766019420562424
2025Q2,openai,closed,3855311362275,3245048.81677805,0.06314115501642137,0.1721175322483403,0.8417086226890796,0.3668490605902829
2025Q2,deepseek,open,1352210225680,683940.59045852,0.013307904220387532,0.060368428190369236,0.5057945705998338,0.22044476921647896
2025Q2,x-ai,closed,190026109021,539759.9156818,0.010502481297508965,0.008483575481734494,2.840451338306098,1.2379781756078272
2025Q2,meta-llama,open,1064035985472,141376.63734145396,0.002750862830760208,0.047503101781849855,0.13286828572695322,0.0579091201958367
2025Q2,microsoft,open,110166686832,54268.2958148275,0.001055935695267354,0.004918310479159435,0.4926016872739813,0.21469480215649558
2025Q2,qwen,open,301244080943,47733.694244872495,0.0009287874414211315,0.013448819808351971,0.15845521045741126,0.06906088821595609
2025Q2,nousresearch,open,55562406390,26423.993463846247,0.0005141498823768656,0.0024805426527166356,0.47557323702599713,0.20727314719373194
2025Q2,mistralai,open,529169205540,23175.1882199765,0.0004509356359653075,0.023624368887708757,0.04379542115707011,0.019087732591236306
2025Q2,google,open,130200458945,14761.2534508325,0.00028721989868279026,0.00581270345905106,0.11337328278595417,0.04941244649863485
2025Q2,amazon,closed,12614919955,9425.021499215,0.00018338914978354906,0.000563183797140499,0.747132881765083,0.3256293073676594
2025Q2,minimax,open,16222492760,6894.559423,0.00013415220228637527,0.0007242412242211531,0.425,0.18523138120264027
2025Q2,gryphe,open,42783657661,2780.937747965,5.411062555589458e-05,0.001910044840794329,0.065,0.02832950536040381
2025Q2,mistralai,closed,7732991606,1896.90224702,3.6909336528566585e-05,0.0003452337067106412,0.2452999231950802,0.10691116137017949
2025Q2,qwen,closed,8247764370,721.6793823749999,1.4042213947320033e-05,0.0003682153570840248,0.08749999999999998,0.038135872600543574
2025Q2,cohere,closed,1999653564,520.8469175043748,1.0134478035563651e-05,8.927305850186442e-05,0.2604685765980886,0.11352224518388154
2025Q2,thedrummer,open,202168027,101.0840135,1.9668614330500765e-06,9.02564245452344e-06,0.5,0.2179192720031062
2025Q2,liquid,closed,2057283197,22.57061547,4.391720466080072e-07,9.184589096188246e-05,0.010971078509226748,0.0047816188836392335
2025Q3,anthropic,closed,8818909076337,60736223.7403167,0.7110035757023788,0.23278513968850367,6.887045009147996,3.054334038048102
2025Q3,google,closed,10928818273142,11058638.733193554,0.12945703893806887,0.28847859370382906,1.011878728038748,0.44875786891480035
2025Q3,openai,closed,3577690546236,5829531.718020032,0.06824293051053394,0.09443721285237582,1.6294119468082948,0.7226275368504496
2025Q3,x-ai,closed,5859416844600,5382875.0484714005,0.06301418118100348,0.1546659747658861,0.9186707809382468,0.4074210974740012
