date,open_share_paid,ratio_g,ratio_w,front_open,front_closed,frontier_gap,mean_q_closed,mean_q_open,n_models_closed,n_models_open,n_scored_closed,n_scored_open,unweighted_gap,cover_open,cover_closed,y,trend,log_ratio_g,frontier_rel,unweighted_rel,frontier_rel_lag1,frontier_rel_lag2,frontier_rel_lag4,open_event,closed_event,no_event,d4,d8
2025-03-17,0.2008322952023663,4.12955503829599,12.222316045908316,11.4,17.7,6.299999999999999,,,20,27,8,7,,0.2592592592592592,0.4,-1.381100609538999,0.2115384615384615,1.4181696622573057,0.43995128417933366,,0.4399512841793336,0.4399512841793336,-0.2475620786623556,0,0,1,-0.16414774014785927,-0.5101715049708013
2025-03-24,0.2495139579504292,5.66174522663773,13.760197994939176,11.4,17.7,6.299999999999999,,,23,27,8,8,,0.2962962962962963,0.3478260869565217,-1.1012061953829184,0.2307692307692307,1.7337321886157997,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,-0.3628818021353828,-0.8897387862102166
2025-03-31,0.2238246920334041,5.497995190918743,10.75421753385216,11.4,17.7,6.299999999999999,,,21,29,9,9,,0.3103448275862069,0.4285714285714285,-1.2435152864035024,0.25,1.7043835150461897,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,-0.16319825218166262,-0.6689348033956444
2025-04-07,0.1976850041851321,5.226616455393219,11.48070448090144,11.4,17.7,6.299999999999999,,,25,28,9,9,,0.3214285714285714,0.36,-1.40082641768213,0.2692307692307692,1.6537641194592607,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,-0.11662609431119497,-0.375154881778625
2025-04-14,0.1757736139718784,4.7673366326779245,12.14146478565055,11.4,17.7,6.299999999999999,,,25,25,12,9,,0.36,0.48,-1.5452483496868583,0.2884615384615384,1.5617877910312554,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,-0.34602376482294206,-0.14141845152889165
2025-04-21,0.1878428727904599,5.196917979131767,12.177079404421502,11.4,17.7,6.299999999999999,,,27,25,13,9,,0.36,0.4814814814814814,-1.4640879975183012,0.3076923076923077,1.6480657535526697,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,-0.5268569840748338,-0.28092809253218975
2025-04-28,0.1967529351428682,5.4919329727077875,11.477975509193158,11.4,17.7,6.299999999999999,,,24,26,13,9,,0.3461538461538461,0.5416666666666666,-1.406713538585165,0.3269230769230769,1.7032802832987992,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,-0.5057365512139818,-0.26079644102805033
2025-05-05,0.1798369563305278,6.9186378078551485,8.771646269338552,11.4,17.7,6.299999999999999,,,24,25,13,9,,0.36,0.5416666666666666,-1.5174525119933249,0.3461538461538461,1.9342189016765088,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,-0.25852878746743,0.08525972595111408
2025-05-12,0.1310994917864086,5.0361621326730726,7.691403514678531,11.4,17.7,6.299999999999999,,,26,23,13,8,,0.3478260869565217,0.5,-1.8912721145098004,0.3653846153846153,1.6166443103964017,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,0.2046053132940504,0.3606115491844233
2025-05-19,0.1201569238692636,7.354935053614064,8.690590121032725,11.4,17.7,6.299999999999999,,,24,26,14,9,,0.3461538461538461,0.5833333333333334,-1.990944981593135,0.3846153846153846,1.9953715237783929,0.43995128417933366,,0.4399512841793336,0.4399512841793336,0.4399512841793336,0,0,1,0.24592889154264408,0.6649915432983207
